confID;Ones;Size;Selects;Ranks;Insert Time;Random Select Time;Random Rank Time
0;4917;11884;49931;49879;338.331;18.5596;19.9626
0;10032;21626;99914;99840;682.757;37.9071;40.6002
0;14988;31176;149754;149904;1032.35;57.3565;61.5078
0;19890;40790;199696;200700;1329.95;77.2835;83.1968
0;24777;51196;249787;250639;1667.73;100.068;108.086
0;29845;60746;299848;300675;1973.71;120.602;130.341
0;34864;70296;349498;350406;2313.21;140.538;152.02
0;39764;77936;399906;400203;2656.79;160.651;173.606
0;44754;87822;450013;449830;2984.54;180.208;194.588
0;49979;97372;500268;499673;3312.27;199.821;215.629
0;55138;106922;550089;549755;3639.45;219.31;236.803
0;60090;116472;600058;599311;3963.87;238.806;257.707
0;65010;126358;649911;649184;4386.86;258.32;278.672
0;69938;135908;699654;699295;4875.59;277.817;299.775
0;74975;145458;749957;749189;5364.35;297.473;320.729
0;79943;155008;800401;799093;5853.08;317.545;342.047
0;84853;162648;850529;849317;6341.75;337.696;363.784
0;89900;172534;900618;899445;6831.69;357.732;385.447
0;94920;182084;950799;949456;7320.52;377.946;407.203
0;99904;191634;1000812;999290;7809.19;397.708;428.424
0;104855;201184;1050817;1049471;8192.76;417.658;449.982
0;109851;211070;1100880;1099619;8194.21;437.383;471.301
0;114753;220620;1150734;1149624;8195.61;457.06;492.584
0;119676;228260;1200575;1199632;8197.19;476.804;514.043
0;124726;237810;1250648;1249416;8198.61;496.616;536.31
0;129791;247696;1300769;1299657;8200.13;516.762;558.813
0;134806;257246;1350975;1349781;8201.79;538.018;581.249
0;139882;266796;1400774;1399834;8203.48;559.177;603.664
0;144914;276346;1450531;1450271;8204.83;580.204;626.231
0;149928;285896;1500878;1499692;8206.17;601.544;648.371
0;154827;295782;1550768;1549672;8207.45;622.682;670.792
0;159769;305332;1600753;1599770;8208.89;643.911;693.275
0;164787;312972;1650645;1649876;8210.21;665.08;715.76
0;169852;322522;1700706;1700025;8211.74;686.348;738.273
0;174845;332408;1750572;1750047;8213.07;707.579;760.764
0;179840;341958;1800496;1799915;8214.42;728.835;783.237
0;184872;351508;1850367;1850336;8215.74;749.988;805.868
0;189861;361058;1899746;1900208;8217.12;770.76;828.193
0;195010;370944;1949648;1950038;8218.52;791.77;850.5
0;199890;380494;1999300;2000113;8219.92;812.787;872.977
0;204968;390044;2049265;2050442;8221.44;834.058;895.634
0;210002;399594;2099399;2100356;8223.18;855.426;918.117
0;214924;407234;2149535;2150514;8224.76;876.777;940.696
0;219972;417120;2199767;2200161;8239.36;900.218;965.406
0;224962;426670;2249846;2250221;8242.08;922.163;988.582
0;229854;436220;2299751;2300182;8244.57;943.545;1011.2
0;234798;445770;2349510;2350368;8247.35;965.197;1033.73
0;239842;455656;2399307;2400654;8248.78;986.549;1054.75
0;244894;465206;2449218;2450267;8250.66;1007.92;1075.39
0;249959;474756;2499173;2499961;8252.12;1028.59;1096.06
0;254958;482396;2549448;2550074;8253.33;1047.26;1116.86
0;260013;492282;2599381;2600304;8254.67;1065.76;1137.71
0;264969;501832;2649499;2650336;8256;1084.43;1158.54
0;269976;511382;2699527;2700434;8257.31;1102.99;1179.38
0;275143;520932;2749435;2750389;8259.51;1122.94;1201.51
0;280050;530818;2799317;2800185;8261.18;1142.25;1223.01
0;285052;540368;2848961;2850038;8262.4;1160.72;1243.79
0;290053;549918;2899127;2900211;8263.59;1179.38;1264.67
0;295044;559468;2949035;2950158;8264.87;1197.99;1285.53
0;299985;567108;2998836;2999814;8266.2;1216.58;1306.26
0;304942;576994;3048759;3049767;8267.53;1235.27;1327.2
0;309966;586544;3098933;3099808;8268.9;1254.1;1348.25
0;314899;596094;3149270;3149912;8270.36;1273.08;1369.35
