ID;TestType;BufferSize;Probabilitie;ZerosRunSize;OnesRunSize;TestCount
0;Random;1024;0.05;1;1;0
1;Random;1024;1;1;1;0
2;Random;1024;0.1;1;1;0
3;Random;1024;1.1;1;1;0
4;Random;1024;1.2;1;1;0
5;Random;1024;0.2;1;1;0
6;Random;1024;0.3;1;1;0
7;Random;1024;0.4;1;1;0
8;Random;1024;0.5;1;1;0
9;Random;1024;0.6;1;1;0
10;Random;1024;0.7;1;1;0
11;Random;1024;0.8;1;1;0
12;Random;1024;0.9;1;1;0
13;Random Runs;1024;0.05;2048;2048;0
14;Random Runs;1024;1;2048;2048;0
15;Random Runs;1024;0.1;2048;2048;0
16;Random Runs;1024;1.1;2048;2048;0
17;Random Runs;1024;1.2;2048;2048;0
18;Random Runs;1024;0.2;2048;2048;0
19;Random Runs;1024;0.3;2048;2048;0
20;Random Runs;1024;0.4;2048;2048;0
21;Random Runs;1024;0.5;2048;2048;0
22;Random Runs;1024;0.6;2048;2048;0
23;Random Runs;1024;0.7;2048;2048;0
24;Random Runs;1024;0.8;2048;2048;0
25;Random Runs;1024;0.9;2048;2048;0
26;Random Runs;1024;0.05;4096;4096;0
27;Random Runs;1024;1;4096;4096;0
28;Random Runs;1024;0.1;4096;4096;0
29;Random Runs;1024;1.1;4096;4096;0
30;Random Runs;1024;1.2;4096;4096;0
31;Random Runs;1024;0.2;4096;4096;0
32;Random Runs;1024;0.3;4096;4096;0
33;Random Runs;1024;0.4;4096;4096;0
34;Random Runs;1024;0.5;4096;4096;0
35;Random Runs;1024;0.6;4096;4096;0
36;Random Runs;1024;0.7;4096;4096;0
37;Random Runs;1024;0.8;4096;4096;0
38;Random Runs;1024;0.9;4096;4096;0
39;Random Runs;1024;0.05;8192;8192;0
40;Random Runs;1024;1;8192;8192;0
41;Random Runs;1024;0.1;8192;8192;0
42;Random Runs;1024;1.1;8192;8192;0
43;Random Runs;1024;1.2;8192;8192;0
44;Random Runs;1024;0.2;8192;8192;0
45;Random Runs;1024;0.3;8192;8192;0
46;Random Runs;1024;0.4;8192;8192;0
47;Random Runs;1024;0.5;8192;8192;0
48;Random Runs;1024;0.6;8192;8192;0
49;Random Runs;1024;0.7;8192;8192;0
50;Random Runs;1024;0.8;8192;8192;0
51;Random Runs;1024;0.9;8192;8192;0
52;Poisson Runs;1024;0.05;2048;2048;0
53;Poisson Runs;1024;1;2048;2048;0
54;Poisson Runs;1024;0.1;2048;2048;0
55;Poisson Runs;1024;1.1;2048;2048;0
56;Poisson Runs;1024;1.2;2048;2048;0
57;Poisson Runs;1024;0.2;2048;2048;0
58;Poisson Runs;1024;0.3;2048;2048;0
59;Poisson Runs;1024;0.4;2048;2048;0
60;Poisson Runs;1024;0.5;2048;2048;0
