confID;Ones;Size;Selects;Ranks;Insert Time;Random Select Time;Random Rank Time
0;4917;12020;49931;49879;339.629;18.3351;20.0288
0;10032;21790;99914;99840;683.482;37.2538;40.6632
0;14988;31560;149754;149904;1031.51;56.2658;61.6739
0;19890;41330;199696;200700;1328.6;75.6844;83.5993
0;24777;51100;249787;250639;1628.03;95.3019;105.433
0;29845;60870;299848;300675;1916.73;114.367;126.76
0;34864;70640;349498;350406;2228.09;133.311;147.961
0;39764;78456;399906;400203;2555.33;152.539;169.265
0;44754;88226;450013;449830;2884.52;171.68;190.614
0;49979;97996;500268;499673;3213.4;190.901;212.091
0;55138;107766;550089;549755;3543.11;210.028;233.821
0;60090;117536;600058;599311;3875.34;229.247;255.372
0;65010;127306;649911;649184;4267.08;248.561;277.035
0;69938;137076;699654;699295;4756.42;267.859;298.843
0;74975;146846;749957;749189;5246.26;287.318;320.542
0;79943;156616;800401;799093;5734.9;306.891;342.36
0;84853;164432;850529;849317;6223.9;326.31;364.265
0;89900;174202;900618;899445;6712.73;345.76;386.226
0;94920;183972;950799;949456;7202.24;365.262;408.232
0;99904;193742;1000812;999290;7691.27;384.66;430.176
0;104855;203512;1050817;1049471;8180.29;404.089;452.258
0;109851;213282;1100880;1099619;8194.24;423.564;474.38
0;114753;223052;1150734;1149624;8196.15;442.886;496.428
0;119676;230868;1200575;1199632;8198.87;462.493;519.04
0;124726;240638;1250648;1249416;8200.59;481.951;541.852
0;129791;250408;1300769;1299657;8202.16;501.452;564.909
0;134806;260178;1350975;1349781;8205.33;521.836;588.086
0;139882;269948;1400774;1399834;8207.4;542.559;611.279
0;144914;279718;1450531;1450271;8209.15;563.263;634.474
0;149928;289488;1500878;1499692;8211.2;584.284;657.239
0;154827;299258;1550768;1549672;8213.62;605.095;680.294
0;159769;309028;1600753;1599770;8215.47;625.974;703.449
0;164787;316844;1650645;1649876;8217.39;646.77;726.588
0;169852;326614;1700706;1700025;8220.54;667.851;749.905
0;174845;336384;1750572;1750047;8223.12;688.744;773.128
0;179840;346154;1800496;1799915;8225.51;709.692;796.361
0;184872;355924;1850367;1850336;8227.7;730.568;819.833
0;189861;365694;1899746;1900208;8229.78;751.196;843.048
0;195010;375464;1949648;1950038;8231.99;772.229;866.267
0;199890;385234;1999300;2000113;8234.65;793.126;889.599
0;204968;395004;2049265;2050442;8236.38;814.092;913.061
0;210002;404774;2099399;2100356;8239.55;835.298;936.453
0;214924;412590;2149535;2150514;8241.51;856.318;959.815
0;219972;422360;2199767;2200161;8243.39;877.624;983.111
0;224962;432130;2249846;2250221;8245.68;898.677;1006.49
0;229854;441900;2299751;2300182;8247.28;919.717;1029.56
0;234798;451670;2349510;2350368;8248.86;940.711;1051.97
0;239842;461440;2399307;2400654;8251.79;961.722;1074.54
0;244894;471210;2449218;2450267;8253.92;982.75;1096.75
0;249959;480980;2499173;2499961;8256.45;1004;1119.12
0;254958;488796;2549448;2550074;8259.3;1025.23;1141.86
0;260013;498566;2599381;2600304;8261.89;1043.5;1164.54
0;264969;508336;2649499;2650336;8265.11;1062.07;1187.32
0;269976;518106;2699527;2700434;8267.17;1080.36;1209.86
0;275143;527876;2749435;2750389;8269.21;1098.57;1232.33
0;280050;537646;2799317;2800185;8271.1;1116.84;1254.82
