confID;Ones;Size;Selects;Ranks;Insert Time;Random Select Time;Random Rank Time
0;4917;14812;49931;49879;335.342;17.9874;22.0688
0;10032;26430;99914;99840;698.979;38.2876;46.0137
0;14988;38092;149754;149904;1046.51;57.4736;69.0583
0;19890;49710;199696;200700;1337.68;76.6441;92.4354
0;24777;61416;249787;250639;1610.96;95.0441;114.567
0;29845;73034;299848;300675;1883.69;113.394;136.93
0;34864;84608;349498;350406;2166.72;131.668;158.952
0;39764;93964;399906;400203;2469.38;150.375;181.128
0;44754;105714;450013;449830;2796.23;169.665;204.389
0;49979;117288;500268;499673;3121.15;189.097;227.955
0;55138;128950;550089;549755;3427.21;207.786;250.947
0;60090;140568;600058;599311;3733.13;226.464;273.534
0;65010;152274;649911;649184;4032.97;244.994;295.642
0;69938;163892;699654;699295;4482.09;263.514;317.686
0;74975;175554;749957;749189;4970.83;282.489;339.998
0;79943;187172;800401;799093;5459.54;301.308;362.06
0;84853;196396;850529;849317;5948.18;320.259;384.611
0;89900;208190;900618;899445;6436.88;339.068;407.079
0;94920;219808;950799;949456;6925.61;357.839;429.5
0;99904;231470;1000812;999290;7414.29;376.746;452.161
0;104855;243088;1050817;1049471;7903.02;395.491;474.939
0;109851;254750;1100880;1099619;8192.55;414.458;497.987
0;114753;266368;1150734;1149624;8193.47;433.149;521.045
0;119676;275768;1200575;1199632;8194.25;451.88;544.426
0;124726;287298;1250648;1249416;8195.05;470.666;567.781
0;129791;299048;1300769;1299657;8196.38;489.967;591.779
0;134806;310666;1350975;1349781;8197.39;508.875;615.089
0;139882;322328;1400774;1399834;8198.3;528.738;638.246
0;144914;333946;1450531;1450271;8199.26;548.66;661.659
0;149928;345652;1500878;1499692;8200.33;569.053;684.802
0;154827;357270;1550768;1549672;8201.3;589.015;708.1
0;159769;368932;1600753;1599770;8202.42;609.367;731.685
0;164787;378244;1650645;1649876;8203.53;629.884;755.321
0;169852;390082;1700706;1700025;8205.05;650.446;779.023
0;174845;401700;1750572;1750047;8206.44;671.027;802.735
0;179840;413362;1800496;1799915;8207.53;691.582;826.342
0;184872;424848;1850367;1850336;8208.58;712.037;850.264
0;189861;436466;1899746;1900208;8210.01;732.515;874.15
0;195010;448172;1949648;1950038;8211.81;753.096;898.054
0;199890;459790;1999300;2000113;8213.08;773.516;922
0;204968;471452;2049265;2050442;8214.26;794.239;946.153
0;210002;483070;2099399;2100356;8215.34;814.864;970.026
0;214924;492514;2149535;2150514;8216.51;835.696;994.134
0;219972;504132;2199767;2200161;8217.5;856.435;1017.89
0;224962;515794;2249846;2250221;8223.3;877.683;1042.46
0;229854;527412;2299751;2300182;8235.33;900.618;1070.16
0;234798;539118;2349510;2350368;8237.28;921.229;1093.59
0;239842;550736;2399307;2400654;8238.58;941.801;1117.04
0;244894;562398;2449218;2450267;8241.18;963.47;1142.22
0;249959;573928;2499173;2499961;8242.55;984.361;1165.87
0;254958;583416;2549448;2550074;8243.69;1005.25;1189.54
0;260013;595034;2599381;2600304;8244.83;1025.69;1213.29
0;264969;606696;2649499;2650336;8246.17;1043.72;1237.09
0;269976;618314;2699527;2700434;8247.23;1061.42;1259.93
0;275143;630020;2749435;2750389;8248.3;1079.27;1282.88
0;280050;641638;2799317;2800185;8249.33;1097.02;1305.67
0;285052;653300;2848961;2850038;8250.32;1114.7;1328.52
0;290053;664918;2899127;2900211;8251.45;1132.72;1351.81
0;295044;676668;2949035;2950158;8252.42;1150.46;1374.75
0;299985;685892;2998836;2999814;8253.39;1168.21;1397.62
0;304942;697510;3048759;3049767;8254.35;1185.99;1420.7
0;309966;709172;3098933;3099808;8255.56;1204.16;1444.16
0;314899;720790;3149270;3149912;8256.55;1222.27;1467.3
0;319902;732496;3199052;3199812;8257.59;1240.05;1490.44
0;324919;744070;3249131;3249848;8258.7;1258.07;1513.84
0;329812;755732;3299042;3299929;8259.74;1275.9;1537.11
0;334736;765088;3348873;3349843;8260.66;1293.67;1560.27
0;339782;776882;3398511;3400080;8261.95;1311.63;1583.95
0;344774;788500;3448682;3449930;8262.91;1329.55;1607.27
0;349712;800162;3498737;3499755;8263.87;1347.47;1630.53
0;354698;811780;3548772;3549409;8264.96;1365.4;1653.76
0;359819;823486;3598725;3599535;8266.26;1383.3;1677.28
0;364820;835104;3649047;3649422;8267.44;1401.51;1700.91
0;369814;846766;3699207;3699436;8268.41;1419.54;1724.49
0;374779;856078;3749018;3749622;8269.62;1437.54;1748.23
0;379723;867828;3798584;3799766;8270.57;1455.34;1771.96
0;384824;879446;3848255;3849901;8271.66;1473.24;1795.87
0;389860;891108;3898379;3899640;8272.65;1491.26;1819.53
0;394813;902726;3948483;3949820;8273.64;1509.28;1843.42
0;399740;914432;3998546;4000010;8274.6;1527.26;1867.4
0;404865;925918;4048377;4050157;8276.2;1545.23;1891.43
0;409919;937536;4097920;4100614;8277.57;1563.1;1915.64
0;414916;949198;4147962;4150676;8278.66;1581.19;1939.83
0;419922;960816;4197943;4200656;8279.73;1599.26;1963.94
0;424923;970304;4247842;4250534;8280.75;1617.45;1988.27
0;429914;981922;4298279;4300528;8281.81;1635.67;2012.43
0;434887;993584;4348176;4350820;8283;1653.83;2036.94
0;439748;1005202;4398355;4400785;8284.33;1672.21;2061.45
0;444771;1016908;4448203;4450644;8285.48;1690.5;2086.01
0;449617;1028526;4497958;4501074;8286.54;1708.52;2110.71
0;454651;1037838;4548091;4550999;8287.83;1727.06;2135.18
0;459599;1049456;4598167;4601005;8289.19;1745.42;2159.75
0;464514;1061206;4647879;4650880;8290.34;1763.44;2184.19
0;469642;1072824;4697601;4700953;8291.38;1781.45;2208.7
0;474608;1084486;4747492;4750751;8292.41;1799.5;2233.1
0;479672;1096104;4797385;4800979;8293.34;1817.52;2257.7
0;484752;1107766;4847501;4850955;8294.65;1835.98;2282.18
0;489839;1119384;4897164;4901151;8295.62;1853.95;2306.77
0;494883;1131046;4946922;4951348;8296.75;1872.35;2331.39
0;499829;1142664;4996838;5001213;8297.98;1890.74;2355.84
1;100031;163590;49987;50200;332.285;18.6998;22.5384
1;199936;323166;100213;100610;669.081;37.9369;45.9736
1;300015;481124;150536;150429;1008.65;57.2448;69.5474
1;399537;640788;200623;200468;1296.01;76.7374;93.6983
1;499469;798966;250328;250358;1579.71;96.1256;118.257
1;599592;958454;300406;300401;1863.89;115.614;143.083
1;700056;1118118;350159;350884;2159.08;135.056;168.061
1;799713;1276076;399812;401071;2470.62;154.464;193.025
1;899589;1435872;449862;450986;2782.9;174.093;218.031
1;999736;1595448;499723;500768;3095.94;193.708;243.243
1;1100113;1754980;549993;550735;3408.6;213.51;268.627
1;1200241;1914556;600035;600667;3720.96;233.246;293.418
1;1300056;2072734;650610;650594;4032.9;253.217;317.92
1;1399643;2230692;700853;700566;4488.92;273.137;342.791
1;1499419;2390356;750776;750519;4981.21;292.924;367.758
1;1599736;2549844;800688;800147;5473.54;312.726;392.732
1;1700082;2709684;850729;850449;5965.82;332.775;418.446
1;1800185;2867686;900719;900224;6458.17;352.79;443.898
1;1899724;3027306;950827;950565;6950.5;372.871;469.816
