confID;Ones;Size;Selects;Ranks;Insert Time;Random Select Time;Random Rank Time
0;4917;14560;49931;49879;337.074;18.2665;23.0895
0;10032;24170;99914;99840;679.205;37.3033;51.718
0;14988;33780;149754;149904;1026.3;56.2349;86.1579
0;19890;43390;199696;200700;1312.68;75.1557;126.297
0;24777;53000;249787;250639;1598.16;94.2876;171.275
0;29845;63490;299848;300675;1884.89;113.278;220.973
0;34864;73100;349498;350406;2256.45;135.386;278.952
0;39764;80788;399906;400203;2636.64;156.715;331.953
0;44754;90398;450013;449830;2981.95;176.305;380.717
0;49979;100008;500268;499673;3331.05;196.095;431.237
0;55138;109618;550089;549755;3672.83;215.713;484.014
0;60090;120144;600058;599311;4008.51;235.03;536.221
0;65010;129754;649911;649184;4453.12;254.517;587.078
0;69938;139364;699654;699295;4942.93;274.526;640.224
0;74975;148974;749957;749189;5431.7;293.972;690.772
0;79943;158584;800401;799093;5921.27;314.119;744.342
0;84853;166272;850529;849317;6410.05;333.646;797.66
0;89900;176834;900618;899445;6898.76;353.224;851.745
0;94920;186444;950799;949456;7387.46;372.89;904.786
0;99904;196054;1000812;999290;7876.29;392.4;957.059
0;104855;205664;1050817;1049471;8194.61;415.354;1019.07
0;109851;215274;1100880;1099619;8208.1;435.062;1073.4
0;114753;224884;1150734;1149624;8210.35;454.63;1128.24
0;119676;233452;1200575;1199632;8212.03;473.996;1182.86
0;124726;243062;1250648;1249416;8213.93;493.708;1237.08
0;129791;252672;1300769;1299657;8215.91;513.443;1291.73
0;134806;262282;1350975;1349781;8217.97;534.504;1346.43
0;139882;271892;1400774;1399834;8219.72;555.314;1401.27
0;144914;282418;1450531;1450271;8221.45;576.108;1457.92
0;149928;292028;1500878;1499692;8223.25;597.222;1513.17
0;154827;301638;1550768;1549672;8225.5;618.074;1568.78
0;159769;311248;1600753;1599770;8227.51;639.151;1624.43
0;164787;318936;1650645;1649876;8229.11;660.019;1680.15
0;169852;328546;1700706;1700025;8232.19;680.89;1736.69
0;174845;339144;1750572;1750047;8234.33;701.977;1793.56
0;179840;348754;1800496;1799915;8236.44;722.888;1849.79
0;184872;358364;1850367;1850336;8238.35;743.777;1906.22
0;189861;367974;1899746;1900208;8240.15;764.544;1961.78
0;195010;377584;1949648;1950038;8242.19;785.65;2017.83
0;199890;387194;1999300;2000113;8243.95;806.56;2076.48
0;204968;397684;2049265;2050442;8246.06;827.831;2137.6
0;210002;407294;2099399;2100356;8248.12;849.182;2197.53
0;214924;414982;2149535;2150514;8250.72;870.574;2257.54
0;219972;424592;2199767;2200161;8253.22;892.091;2317.09
0;224962;434202;2249846;2250221;8255.22;913.268;2377.28
0;229854;443812;2299751;2300182;8285.18;937.536;2443.87
0;234798;454338;2349510;2350368;8287.68;958.755;2504.85
0;239842;463948;2399307;2400654;8292.07;980.981;2566.69
0;244894;473558;2449218;2450267;8294.33;1002.33;2626.52
0;249959;483168;2499173;2499961;8296.95;1023.54;2686.47
0;254958;490856;2549448;2550074;8299.04;1041.98;2747.13
0;260013;501418;2599381;2600304;8300.94;1060.41;2808.33
0;264969;511028;2649499;2650336;8302.41;1078.89;2868.91
0;269976;520638;2699527;2700434;8303.9;1097.33;2929.08
0;275143;530248;2749435;2750389;8305.67;1115.83;2989.11
0;280050;539858;2799317;2800185;8307.36;1134.04;3049
0;285052;549468;2848961;2850038;8308.84;1152.52;3109.46
0;290053;559958;2899127;2900211;8310.62;1171.14;3170.47
0;295044;569568;2949035;2950158;8312.24;1189.66;3230.81
0;299985;577256;2998836;2999814;8314.05;1208.34;3290.59
0;304942;586866;3048759;3049767;8315.58;1226.99;3350.76
0;309966;596476;3098933;3099808;8316.99;1245.32;3411.1
0;314899;606086;3149270;3149912;8318.66;1264.14;3472.08
0;319902;616612;3199052;3199812;8320.31;1282.62;3532.78
0;324919;626222;3249131;3249848;8322.31;1301.4;3593.4
0;329812;635832;3299042;3299929;8324.12;1320.06;3653.83
0;334736;643520;3348873;3349843;8325.42;1338.04;3714.09
0;339782;653130;3398511;3400080;8326.96;1356.45;3775.09
0;344774;662740;3448682;3449930;8328.75;1375.32;3835.89
0;349712;673374;3498737;3499755;8330.59;1394.11;3896.48
0;354698;682984;3548772;3549409;8332.2;1412.62;3956.56
0;359819;692594;3598725;3599535;8333.88;1431.3;4017.14
0;364820;702204;3649047;3649422;8335.54;1450.15;4077.52
0;369814;711814;3699207;3699436;8337.36;1469.05;4130.64
0;374779;720382;3749018;3749622;8339.18;1487.79;4180.7
0;379723;729992;3798584;3799766;8340.73;1506.07;4230.23
0;384824;739602;3848255;3849901;8342.36;1524.56;4279.68
0;389860;749212;3898379;3899640;8343.99;1543.21;4328.85
0;394813;758822;3948483;3949820;8345.76;1562.14;4378.56
0;399740;768432;3998546;4000010;8347.55;1581.03;4428.39
0;404865;778958;4048377;4050157;8349.33;1599.86;4478.09
0;409919;788568;4097920;4100614;8351.19;1618.49;4528.03
0;414916;798178;4147962;4150676;8352.88;1637.16;4577.76
0;419922;807788;4197943;4200656;8355.51;1656.2;4627.82
0;424923;815476;4247842;4250534;8357.41;1674.84;4678.8
0;429914;825086;4298279;4300528;8358.99;1693.65;4731.2
0;434887;835648;4348176;4350820;8360.53;1712.23;4781.11
0;439748;845258;4398355;4400785;8362.14;1731.2;4830.42
0;444771;854868;4448203;4450644;8363.7;1749.88;4879.83
0;449617;864478;4497958;4501074;8365.25;1768.42;4929.95
0;454651;872166;4548091;4550999;8366.94;1787.26;4979.6
0;459599;881776;4598167;4601005;8368.21;1805.69;5029.39
0;464514;892266;4647879;4650880;8369.9;1824.38;5078.89
0;469642;901876;4697601;4700953;8371.7;1843.22;5128.5
0;474608;911486;4747492;4750751;8373.16;1861.81;5178.06
0;479672;921096;4797385;4800979;8374.99;1880.67;5228.11
0;484752;930706;4847501;4850955;8377.22;1899.6;5278.91
0;489839;941232;4897164;4901151;8378.53;1918.04;5328.97
0;494883;950842;4946922;4951348;8380.47;1936.97;5378.89
0;499829;960452;4996838;5001213;8382.15;1955.75;5428.47
1;100031;145886;49987;50200;339.363;19.0642;47.5065
1;199936;286382;100213;100610;686.91;38.6324;102.849
1;300015;426240;150536;150429;1036.53;58.5652;159.356
1;399537;566736;200623;200468;1328.97;78.3388;216.817
1;499469;706630;250328;250358;1626.09;98.2265;274.128
1;599592;847090;300406;300401;1923.18;118.321;331.949
1;700056;988394;350159;350884;2245.79;138.255;390.714
1;799713;1127444;399812;401071;2592.14;158.378;449.705
1;899589;1268784;449862;450986;2940.23;178.698;508.064
1;999736;1409280;499723;500768;3283.52;199.084;567.001
1;1100113;1550548;549993;550735;3618.79;219.471;626.45
1;1200241;1691044;600035;600667;3959.25;239.875;686.401
1;1300056;1830938;650610;650594;4395.39;260.793;746.833
1;1399643;1970024;700853;700566;4887.64;281.354;807.196
1;1499419;2111292;750776;750519;5379.92;301.679;867.789
1;1599736;2251788;800688;800147;5872.22;322.128;928.359
1;1700082;2393164;850729;850449;6364.53;342.832;989.839
1;1800185;2532178;900719;900224;6856.85;363.388;1050.37
1;1899724;2673518;950827;950565;7349.16;384.144;1112.67
1;1999966;2813942;1000912;1000580;7841.4;404.921;1174.47
1;2099777;2953764;1050836;1050585;8193.62;426.195;1237.68
1;2199596;3094332;1100961;1100536;8199.4;447.445;1301.46
1;2300001;3235564;1150888;1150439;8204.7;468.378;1364.56
1;2399895;3374686;1200926;1200247;8209.95;489.567;1427.83
1;2499989;3515918;1251004;1250295;8215.49;511.3;1492.63
1;2599521;3655112;1300825;1299838;8220.56;533.374;1555.75
1;2699103;3794934;1350813;1349756;8225.72;555.578;1619.7
1;2798976;3935466;1400839;1400040;8231.22;578.256;1684.85
1;2899269;4076698;1450674;1450195;8236.48;600.585;1749.35
1;2999435;4217230;1500860;1500615;8241.64;622.979;1814.24
