confID;Ones;Size;Selects;Ranks;Insert Time;Random Select Time;Random Rank Time
0;4917;13640;49931;49879;350.508;18.9067;24.4532
0;10032;23250;99914;99840;696.576;37.9344;54.2509
0;14988;32860;149754;149904;1044.56;57.0547;89.99
0;19890;42954;199696;200700;1335.6;76.129;131.017
0;24777;52564;249787;250639;1628.72;95.32;171.092
0;29845;62174;299848;300675;1919.97;114.492;211.038
0;34864;71784;349498;350406;2232.84;133.449;251.986
0;39764;79992;399906;400203;2569.95;152.864;294.422
0;44754;89602;450013;449830;2906.68;172.208;335.926
0;49979;99212;500268;499673;3279.29;192.567;380.341
0;55138;108822;550089;549755;3635.81;212.391;425.242
0;60090;118988;600058;599311;3977.98;231.858;468.212
0;65010;128598;649911;649184;4406.83;251.005;510.798
0;69938;138208;699654;699295;4895.52;270.295;554.754
0;74975;148338;749957;749189;5384.25;289.855;599.557
0;79943;157948;800401;799093;5873;309.421;644.106
0;84853;165636;850529;849317;6361.67;328.798;688.744
0;89900;175246;900618;899445;6850.43;348.175;733.691
0;94920;185448;950799;949456;7339.14;367.614;779.391
0;99904;195058;1000812;999290;7827.88;387.034;824.738
0;104855;204668;1050817;1049471;8192.37;406.448;869.939
0;109851;214278;1100880;1099619;8194.21;426.099;915.925
0;114753;224408;1150734;1149624;8195.84;445.53;961.955
0;119676;232096;1200575;1199632;8197.55;464.974;1007.35
0;124726;241706;1250648;1249416;8199.23;484.474;1051.62
0;129791;251316;1300769;1299657;8200.99;504.193;1095.9
0;134806;261482;1350975;1349781;8202.58;524.55;1140.22
0;139882;271092;1400774;1399834;8204.21;545.224;1184.23
0;144914;280702;1450531;1450271;8206.15;566.256;1229.25
0;149928;290832;1500878;1499692;8208.11;587.451;1273.4
0;154827;300442;1550768;1549672;8209.96;608.269;1318
0;159769;310052;1600753;1599770;8211.66;629.167;1362.78
0;164787;317740;1650645;1649876;8213.09;649.973;1407.5
0;169852;327834;1700706;1700025;8215.13;670.838;1452.77
0;174845;337444;1750572;1750047;8217.16;691.748;1498.01
0;179840;347054;1800496;1799915;8218.75;712.639;1543.09
0;184872;356664;1850367;1850336;8220.42;733.574;1588.94
0;189861;366902;1899746;1900208;8222.19;754.273;1634.38
0;195010;376512;1949648;1950038;8249.31;777.586;1686.03
0;199890;386122;1999300;2000113;8277.58;801.581;1739.65
0;204968;396252;2049265;2050442;8297.77;826.153;1793.95
0;210002;405862;2099399;2100356;8336.82;852.638;1852.86
0;214924;413550;2149535;2150514;8364.7;876.772;1906.6
0;219972;423160;2199767;2200161;8370.64;899.118;1955.67
0;224962;433326;2249846;2250221;8382.19;922.318;2007.85
0;229854;442936;2299751;2300182;8387.76;945.019;2059.27
0;234798;452546;2349510;2350368;8392.46;967.12;2111.22
0;239842;462156;2399307;2400654;8396.68;989.295;2163.41
0;244894;472286;2449218;2450267;8409.71;1012.43;2215.79
0;249959;481896;2499173;2499961;8416.28;1033.71;2266.62
0;254958;489584;2549448;2550074;8424.04;1057.17;2321.35
0;260013;499786;2599381;2600304;8427.71;1076.97;2372.15
0;264969;509396;2649499;2650336;8435.09;1097.63;2423.55
0;269976;519006;2699527;2700434;8441.7;1119.06;2475.84
0;275143;528616;2749435;2750389;8446.72;1139.19;2526.7
0;280050;538746;2799317;2800185;8453.59;1160.35;2579.47
0;285052;548356;2848961;2850038;8460.04;1180.43;2630.6
0;290053;557966;2899127;2900211;8464.35;1200.31;2681.14
0;295044;567576;2949035;2950158;8467.63;1220.45;2732.34
0;299985;575820;2998836;2999814;8475.64;1241.3;2784.18
0;304942;585430;3048759;3049767;8479.32;1261.77;2835.49
0;309966;595040;3098933;3099808;8483.85;1282.35;2886.78
0;314899;605134;3149270;3149912;8487.88;1302.41;2937.63
0;319902;614744;3199052;3199812;8492.8;1322.1;2987.92
0;324919;624354;3249131;3249848;8495.92;1341.38;3037.56
0;329812;633964;3299042;3299929;8498.79;1360.74;3087.57
0;334736;642172;3348873;3349843;8505.51;1380.95;3139.15
